"Sign In","Log in"
"Create an Account","Sign up"
"Do You Want To Become A Seller / Vendor","Signup as a MedSpa/Wellness Center:"
"Marketplace Become Seller","Become Center"
"Become Seller","Center Request"
"Marketplace","Center Panel"
"Seller Request Panel","Center Onboarding Request"
"Marketplace Dashboard","Center Dashboard"
"Seller Profile","Center"
"Marketplace Edit Seller Profile","Center Onboarding"
"Profile information was successfully saved","Center information saved successfully"
"Edit Profile Information","Edit Center Information"
"Booking Products List","Services"
"Create Provider","Providers"
"Customer Login","Log in"
"Create New Customer Account","Create an account"
"Please enter the same value again.","Please enter the same password again."
"Thank you for registering with %1.","Thank you for registering with us."
"Waiting for approval from admin, your application current status is %1","We received your request to onboard as center. Your application is right now under review. Stay tuned, We will approve it soon."
"Are you sure you want to delete this banner?","Are you sure you want to delete this image?"
"Are you sure you want to delete this logo?","Are you sure you want to delete this image?"
"Marketplace Booking Product List","Services"
"No Order Available","No Appointments Available"
"New Customers", "New to Maintain?"
"Creating an account has many benefits: check out faster, keep more than one address, track orders and more.", "Create an account to access all features, book appointments, and review your favorite providers."
